metric,var,pearson_r,spearman_rho,n
AnsF1,alpha,-0.4891,-0.5669,7
AnsF1,alpha_hits,-0.548,-0.6325,7
AnsF1,max_distance,0.1805,0.0,15
AnsF1,null_threshold,0.8642,0.8997,15
AnsF1,rerank_flag,0.1782,0.0386,15
AnsF1,rerank_lex_w,0.0083,0.0423,15
AnsF1,span_max_distance,-0.4169,-0.433,7
AnsF1,support_min,,,7
AnsF1,support_window,,,7
AnsF1,top_k,-0.3611,-0.4885,15
F1,alpha,0.2787,0.0945,7
F1,alpha_hits,0.2722,0.1581,7
F1,max_distance,-0.9005,-0.433,15
F1,null_threshold,0.1559,-0.3072,15
F1,rerank_flag,-0.2434,-0.1929,15
F1,rerank_lex_w,0.0329,0.0423,15
F1,span_max_distance,0.2051,0.0,7
F1,support_min,,,7
F1,support_window,,,7
F1,top_k,-0.506,-0.3489,15
NoAns,alpha,0.5458,0.4714,7
NoAns,alpha_hits,0.5871,0.3944,7
NoAns,max_distance,-0.3776,-0.4414,15
NoAns,null_threshold,-0.7505,-0.7903,15
NoAns,rerank_flag,-0.2199,-0.118,15
NoAns,rerank_lex_w,0.0,0.0,15
NoAns,span_max_distance,0.4466,0.5401,7
NoAns,support_min,,,7
NoAns,support_window,,,7
NoAns,top_k,0.2094,0.1956,15
p50_ms,alpha,-0.7854,-0.7559,7
p50_ms,alpha_hits,-0.2576,-0.4743,7
p50_ms,max_distance,0.1439,0.0,15
p50_ms,null_threshold,0.9238,0.9436,15
p50_ms,rerank_flag,0.2313,0.0772,15
p50_ms,rerank_lex_w,-0.0583,-0.0423,15
p50_ms,span_max_distance,-0.1682,-0.2887,7
p50_ms,support_min,,,7
p50_ms,support_window,,,7
p50_ms,top_k,-0.3432,-0.3838,15
